MAC_address,window_mame,timestamp,data
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,ihcoiuzhdfuho hjiohdusgdiusgfhodgfudsigfdui
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,hoxiusagvuy
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,fud hadgyivscbdcsdvcbzcgyugdchksgacuigbxvyucv houhuig
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,ygcyu bijbgcgsbdbcguxziyugccgdyucg
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,iohuigyufyuyufgyg
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:53,ggygyufguydytdyttyd jihugifyut
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,dtdys 
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-26 16:54,/
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-26 16:54,Key.right
60:45:2E:F3:21:21,Keylogger Dashboard - Google Chrome,2025-02-26 16:54,"Key.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspace
"
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,noihsuzsugc ojoihKey.shiftUbsjch
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,dubchadcobdsuivbdg iozhcudsgbciajcvsaugbsui nxbjzcshdf
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,uysfcgsauicgdyicgighsydagfciaghsdciuyidaggcuisagcuisagcisuc baug
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,aKey.shiftSIUCGshcjsdhcuigbisugcuicguigc jshdusdjkshdiushb 
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,dhjsududysdughfjchsjcudhneh ekKey.backspaceli
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,  cbzhgun nkhjsihd nhu 
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:54,sdsadbjksgdysd bd
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55,sgdhsav hvdjygvdsdv
60:45:2E:F3:21:21,keylogger – app.py,2025-02-26 16:55, gidgysygds 
